,id,name,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,beds,price,number_of_reviews,review_scores_rating,geometry,restaurant,nightclub,suppermarket,park,trainstation,busstop,bicycle_rental,city_center,Wijkcode,Wijk,culture_to,public_gre,Safety_ind
58,26152770,2  private rooms in Amsterdam city centre,Centrum-West,52.37287,4.88827,Private room in bed and breakfast,4,2.0,262.0,50,4.0,POINT (121022.70599804164 487338.5211825256),74.02804335334618,200.4844300554628,134.59027547192076,825.26448669309,875.881956995035,295.71063989852246,215.9488336902016,292.0325513505897,AC,Grachtengordel-West,19.0,0.0,86.0
59,27081619,Newly furnished apartment in center,Centrum-West,52.36935,4.88303,Private room in rental unit,2,1.0,187.0,82,4.7,POINT (120663.14282829082 486949.3451911427),30.69880502304117,510.6886919793452,90.99645899643066,593.4937237913829,1111.1802916109568,338.27482430046274,449.33357770065663,777.7181187419734,AC,Grachtengordel-West,19.0,0.0,86.0
60,31072230,Luxury Canal Suite De Heren,Centrum-West,52.37202,4.88737,Private room in townhouse,3,2.0,265.0,67,4.94,POINT (120960.76465066186 487244.3699524374),5.583099575075037,243.21576228223623,216.1304207494695,845.6654520072775,923.2955529474644,301.42499041419023,162.35681590944807,375.861250357262,AC,Grachtengordel-West,19.0,0.0,86.0
61,32068256,Historic canal house in the middle of De Jordaan!,Centrum-West,52.3736,4.88318,Private room in home,4,2.0,274.0,101,4.98,POINT (120676.64718298707 487422.1417190321),29.066226937884707,553.7880019530273,59.71029908604699,530.3628412326699,1231.7724659565306,66.55347248862894,109.18480828339392,636.9139177816295,AC,Grachtengordel-West,19.0,0.0,86.0
62,36609293,Authentic Suite with Canal View in Heart of City,Centrum-West,52.36903,4.88716,Room in bed and breakfast,2,1.0,193.0,147,4.9,POINT (120944.16818642164 486911.7923286775),42.08462737589545,235.3198479223283,208.0568311187246,785.1441459012841,967.8636591446472,338.9053124927146,253.5654661863215,593.9084278249481,AC,Grachtengordel-West,19.0,0.0,86.0
63,36711377,“CANAL HOUSE” in Center of Amsterdam - famous area,Centrum-West,52.37089,4.88412,Entire condo,2,1.0,600.0,24,4.63,POINT (120738.5660124133 487120.1742462858),51.289390103559214,483.7514407869402,85.58031224978663,762.1444625633035,1142.3206202131737,345.2712082274988,336.5481586914491,628.7853047565349,AC,Grachtengordel-West,19.0,0.0,86.0
64,39529278,"Hoxton Amsterdam, Cosy Room",Centrum-West,52.37154,4.88654,Room in boutique hotel,2,1.0,308.0,9,4.56,POINT (120903.87247224781 487191.35387981765),75.64627306492329,306.15581124790947,158.43948312345026,849.9501171788598,976.8257383793896,311.3477139914933,182.13232994124613,448.8452603183534,AC,Grachtengordel-West,19.0,0.0,86.0
65,39529472,"Hoxton Amsterdam, Roomy Room",Centrum-West,52.37274,4.88716,Room in boutique hotel,2,1.0,379.0,0,,POINT (120947.0163408386 487324.57797555055),67.26978682476,266.723117347033,210.4489993715773,778.4470554430266,947.5858703307792,237.56096754228784,233.73150824966245,368.9269947288834,AC,Grachtengordel-West,19.0,0.0,86.0
66,40525783,Apartment Canal House Wester Church (2p),Centrum-West,52.373104,4.885465,Private room in condo,2,1.0,236.0,24,5.0,POINT (120831.8686542844 487365.87550700305),64.7143410625953,388.84068576420674,135.83368035727898,669.1409393240992,1068.356927233278,125.2039857630221,220.2175280272828,480.3269294725246,AC,Grachtengordel-West,19.0,0.0,86.0
67,42134255,9 Streets Cozy Room in the city centre,Centrum-West,52.36937,4.88695,Private room in home,2,1.0,100.0,12,4.92,POINT (120930.1272886009 486949.7204287778),14.366476672658807,266.4961927861977,171.0479001976198,807.14770645443,973.0500965393444,349.9718985468157,230.496383032568,573.8693041852276,AC,Grachtengordel-West,19.0,0.0,86.0
